Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
yugoslavia, Zaire,9.0,0.0,NO,Oblak,61,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
yugoslavia, Zaire,9.0,0.0,NO,Petković,65,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
scotland, Yugoslavia,1.0,1.0,NO,Jordan,88,Draw,1974-06-22,16:00:00,Waldstadion,Frankfurt,560000.0,Alfonso González Archundía,Mexico
scotland, Yugoslavia,1.0,1.0,NO,Karasi,81,Draw,1974-06-22,16:00:00,Waldstadion,Frankfurt,560000.0,Alfonso González Archundía,Mexico
zaire, Brazil,0.0,3.0,NO,Jairzinho,12,Away Win,1974-06-22,16:00:00,Parkstadion,Gelsenkirchen,362000.0,Nicolae Rainea,Romania
zaire, Brazil,0.0,3.0,NO,Rivellino,66,Away Win,1974-06-22,16:00:00,Parkstadion,Gelsenkirchen,362000.0,Nicolae Rainea,Romania
zaire, Brazil,0.0,3.0,NO,Valdomiro,79,Away Win,1974-06-22,16:00:00,Parkstadion,Gelsenkirchen,362000.0,Nicolae Rainea,Romania
uruguay, Netherlands,0.0,2.0,NO,Rep,7,Away Win,1974-06-15,16:00:00,Niedersachsenstadion,Hanover,551000.0,Károly Palotai,Hungary
bulgaria, Uruguay,1.0,1.0,NO,Bonev,75,Draw,1974-06-19,19:30:00,Niedersachsenstadion,Hanover,134000.0,Jack Taylor,England
bulgaria, Uruguay,1.0,1.0,NO,Pavoni,87,Draw,1974-06-19,19:30:00,Niedersachsenstadion,Hanover,134000.0,Jack Taylor,England
bulgaria, Netherlands,1.0,4.0,NO,Krol,78,Away Win,1974-06-23,16:00:00,Westfalenstadion,Dortmund,533000.0,Tony Boskovic,Australia
bulgaria, Netherlands,1.0,4.0,NO,Neeskens,5,Away Win,1974-06-23,16:00:00,Westfalenstadion,Dortmund,533000.0,Tony Boskovic,Australia
bulgaria, Netherlands,1.0,4.0,NO,pen.,71,Away Win,1974-06-23,16:00:00,Westfalenstadion,Dortmund,533000.0,Tony Boskovic,Australia
bulgaria, Netherlands,1.0,4.0,NO,pen.,88,Away Win,1974-06-23,16:00:00,Westfalenstadion,Dortmund,533000.0,Tony Boskovic,Australia
