Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City,First_Team_Goals,Second_Team_Goals,Tournament_Stage
netherlands, Republic of Ireland,2.0,0.0,NO,Jonk,41,Home Win,1994-07-04,No_Time_Available,Citrus Bowl,Orlando,613550.0,Peter Mikkelsen,Denmark,Bergkamp  11'; Jonk  41',0,Group Stage
brazil, United States,1.0,0.0,NO,Bebeto,72,Home Win,1994-07-04,No_Time_Available,Stanford Stadium,Stanford,841470.0,Joël Quiniou,France,Bebeto  72',0,Group Stage
nigeria, Italy,1.0,2.0,NO,Amunike,25,Away Win,1994-07-05,No_Time_Available,Foxboro Stadium,Foxborough,543670.0,Arturo Brizio Carter,Mexico,Amunike  25',"R. Baggio  88', 102' (pen.); pen.",Group Stage
nigeria, Italy,1.0,2.0,NO,R. Baggio,88,Away Win,1994-07-05,No_Time_Available,Foxboro Stadium,Foxborough,543670.0,Arturo Brizio Carter,Mexico,Amunike  25',"R. Baggio  88', 102' (pen.); pen.",Group Stage
mexico, Bulgaria,1.0,1.0,1–3,García Aspe,18,Draw,1994-07-05,No_Time_Available,Giants Stadium,East Rutherford,710300.0,Jamal Al Sharif,Syria,García Aspe  18' (pen.); pen.,Stoichkov  6',Group Stage
mexico, Bulgaria,1.0,1.0,1–3,Stoichkov,6,Draw,1994-07-05,No_Time_Available,Giants Stadium,East Rutherford,710300.0,Jamal Al Sharif,Syria,García Aspe  18' (pen.); pen.,Stoichkov  6',Group Stage
italy, Spain,2.0,1.0,NO,D. Baggio,25,Home Win,1994-07-09,No_Time_Available,Foxboro Stadium,Foxborough,534000.0,Sándor Puhl,Hungary,D. Baggio  25'; R. Baggio  88',Caminero  58',Quarter-Final
italy, Spain,2.0,1.0,NO,R. Baggio,88,Home Win,1994-07-09,No_Time_Available,Foxboro Stadium,Foxborough,534000.0,Sándor Puhl,Hungary,D. Baggio  25'; R. Baggio  88',Caminero  58',Quarter-Final
italy, Spain,2.0,1.0,NO,Caminero,58,Home Win,1994-07-09,No_Time_Available,Foxboro Stadium,Foxborough,534000.0,Sándor Puhl,Hungary,D. Baggio  25'; R. Baggio  88',Caminero  58',Quarter-Final
netherlands, Brazil,2.0,3.0,NO,Bergkamp,64,Away Win,1994-07-09,No_Time_Available,Cotton Bowl,Dallas,635000.0,Rodrigo Badilla,Costa Rica,Bergkamp  64'; Winter  76',Romário  53'; Bebeto  63'; Branco  81',Quarter-Final
netherlands, Brazil,2.0,3.0,NO,Winter,76,Away Win,1994-07-09,No_Time_Available,Cotton Bowl,Dallas,635000.0,Rodrigo Badilla,Costa Rica,Bergkamp  64'; Winter  76',Romário  53'; Bebeto  63'; Branco  81',Quarter-Final
netherlands, Brazil,2.0,3.0,NO,Romário,53,Away Win,1994-07-09,No_Time_Available,Cotton Bowl,Dallas,635000.0,Rodrigo Badilla,Costa Rica,Bergkamp  64'; Winter  76',Romário  53'; Bebeto  63'; Branco  81',Quarter-Final
netherlands, Brazil,2.0,3.0,NO,Bebeto,63,Away Win,1994-07-09,No_Time_Available,Cotton Bowl,Dallas,635000.0,Rodrigo Badilla,Costa Rica,Bergkamp  64'; Winter  76',Romário  53'; Bebeto  63'; Branco  81',Quarter-Final
netherlands, Brazil,2.0,3.0,NO,Branco,81,Away Win,1994-07-09,No_Time_Available,Cotton Bowl,Dallas,635000.0,Rodrigo Badilla,Costa Rica,Bergkamp  64'; Winter  76',Romário  53'; Bebeto  63'; Branco  81',Quarter-Final
bulgaria, Germany,2.0,1.0,NO,Stoichkov,75,Home Win,1994-07-10,No_Time_Available,Giants Stadium,East Rutherford,720000.0,José Torres Cadena,Colombia,Stoichkov  75'; Letchkov  78',Matthäus  47' (pen.); pen.,Group Stage
bulgaria, Germany,2.0,1.0,NO,Letchkov,78,Home Win,1994-07-10,No_Time_Available,Giants Stadium,East Rutherford,720000.0,José Torres Cadena,Colombia,Stoichkov  75'; Letchkov  78',Matthäus  47' (pen.); pen.,Group Stage
bulgaria, Germany,2.0,1.0,NO,Matthäus,47,Home Win,1994-07-10,No_Time_Available,Giants Stadium,East Rutherford,720000.0,José Torres Cadena,Colombia,Stoichkov  75'; Letchkov  78',Matthäus  47' (pen.); pen.,Group Stage
romania, Sweden,2.0,2.0,4–5,Răducioiu,88,Draw,1994-07-10,No_Time_Available,Stanford Stadium,Stanford,835000.0,Philip Don,England,"Răducioiu  88', 101'",Brolin  78'; K. Andersson  115',Group Stage
romania, Sweden,2.0,2.0,4–5,Brolin,78,Draw,1994-07-10,No_Time_Available,Stanford Stadium,Stanford,835000.0,Philip Don,England,"Răducioiu  88', 101'",Brolin  78'; K. Andersson  115',Group Stage
romania, Sweden,2.0,2.0,4–5,K. Andersson,115,Draw,1994-07-10,No_Time_Available,Stanford Stadium,Stanford,835000.0,Philip Don,England,"Răducioiu  88', 101'",Brolin  78'; K. Andersson  115',Group Stage
bulgaria, Italy,1.0,2.0,NO,Stoichkov,44,Away Win,1994-07-13,No_Time_Available,Giants Stadium,East Rutherford,741100.0,Joël Quiniou,France,Stoichkov  44' (pen.); pen.,"R. Baggio  21', 25'",Semi-Final
bulgaria, Italy,1.0,2.0,NO,R. Baggio,21,Away Win,1994-07-13,No_Time_Available,Giants Stadium,East Rutherford,741100.0,Joël Quiniou,France,Stoichkov  44' (pen.); pen.,"R. Baggio  21', 25'",Semi-Final
sweden, Brazil,0.0,1.0,NO,Romário,80,Away Win,1994-07-13,No_Time_Available,Rose Bowl,Pasadena,918560.0,José Torres Cadena,Colombia,0,Romário  80',Semi-Final
sweden, Bulgaria,4.0,0.0,NO,Brolin,8,Home Win,1994-07-16,No_Time_Available,Rose Bowl,Pasadena,915000.0,Ali Bujsaim,United Arab Emirates,Brolin  8'; Mild  30'; Larsson  37'; K. Andersson  39',0,Group Stage
sweden, Bulgaria,4.0,0.0,NO,Mild,30,Home Win,1994-07-16,No_Time_Available,Rose Bowl,Pasadena,915000.0,Ali Bujsaim,United Arab Emirates,Brolin  8'; Mild  30'; Larsson  37'; K. Andersson  39',0,Group Stage
sweden, Bulgaria,4.0,0.0,NO,Larsson,37,Home Win,1994-07-16,No_Time_Available,Rose Bowl,Pasadena,915000.0,Ali Bujsaim,United Arab Emirates,Brolin  8'; Mild  30'; Larsson  37'; K. Andersson  39',0,Group Stage
sweden, Bulgaria,4.0,0.0,NO,K. Andersson,39,Home Win,1994-07-16,No_Time_Available,Rose Bowl,Pasadena,915000.0,Ali Bujsaim,United Arab Emirates,Brolin  8'; Mild  30'; Larsson  37'; K. Andersson  39',0,Group Stage
brazil, Italy,0.0,0.0,3–2,No_Goal_Scorer,No_Goal_Scorer,Draw,1994-07-17,No_Time_Available,Rose Bowl,Pasadena,941940.0,Sándor Puhl,Hungary,0,0,Final
brazil, Scotland,2.0,1.0,NO,César Sampaio,5,Home Win,1998-06-10,17:30:00,Stade de France,Saint-Denis,800000.0,José María García-Aranda,Spain,César Sampaio  5'; Boyd  74' (o.g.); o.g.,Collins  38' (pen.); pen.,Group Stage
brazil, Scotland,2.0,1.0,NO,Boyd,74,Home Win,1998-06-10,17:30:00,Stade de France,Saint-Denis,800000.0,José María García-Aranda,Spain,César Sampaio  5'; Boyd  74' (o.g.); o.g.,Collins  38' (pen.); pen.,Group Stage
brazil, Scotland,2.0,1.0,NO,Collins,38,Home Win,1998-06-10,17:30:00,Stade de France,Saint-Denis,800000.0,José María García-Aranda,Spain,César Sampaio  5'; Boyd  74' (o.g.); o.g.,Collins  38' (pen.); pen.,Group Stage
morocco, Norway,2.0,2.0,NO,Hadji,37,Draw,1998-06-10,21:00:00,Stade de la Mosson,Montpellier,298000.0,Pirom Un-prasert,Thailand,Hadji  37'; Hadda  60',Chippo  45+1' (o.g.); o.g.  61'; Eggen,Group Stage
morocco, Norway,2.0,2.0,NO,Hadda,60,Draw,1998-06-10,21:00:00,Stade de la Mosson,Montpellier,298000.0,Pirom Un-prasert,Thailand,Hadji  37'; Hadda  60',Chippo  45+1' (o.g.); o.g.  61'; Eggen,Group Stage
morocco, Norway,2.0,2.0,NO,Chippo,45,Draw,1998-06-10,21:00:00,Stade de la Mosson,Montpellier,298000.0,Pirom Un-prasert,Thailand,Hadji  37'; Hadda  60',Chippo  45+1' (o.g.); o.g.  61'; Eggen,Group Stage
morocco, Norway,2.0,2.0,NO,o.g.,61,Draw,1998-06-10,21:00:00,Stade de la Mosson,Montpellier,298000.0,Pirom Un-prasert,Thailand,Hadji  37'; Hadda  60',Chippo  45+1' (o.g.); o.g.  61'; Eggen,Group Stage
scotland, Norway,1.0,1.0,NO,Burley,66,Draw,1998-06-16,17:30:00,Parc Lescure,Bordeaux,318000.0,László Vágner,Hungary,Burley  66',H. Flo  46',Group Stage
scotland, Norway,1.0,1.0,NO,H. Flo,46,Draw,1998-06-16,17:30:00,Parc Lescure,Bordeaux,318000.0,László Vágner,Hungary,Burley  66',H. Flo  46',Group Stage
brazil, Morocco,3.0,0.0,NO,Ronaldo,9,Home Win,1998-06-16,21:00:00,Stade de la Beaujoire,Nantes,355000.0,Nikolai Levnikov,Russia,Ronaldo  9'; Rivaldo  45+2'; Bebeto  50',0,Group Stage
brazil, Morocco,3.0,0.0,NO,Rivaldo,45,Home Win,1998-06-16,21:00:00,Stade de la Beaujoire,Nantes,355000.0,Nikolai Levnikov,Russia,Ronaldo  9'; Rivaldo  45+2'; Bebeto  50',0,Group Stage
brazil, Morocco,3.0,0.0,NO,Bebeto,50,Home Win,1998-06-16,21:00:00,Stade de la Beaujoire,Nantes,355000.0,Nikolai Levnikov,Russia,Ronaldo  9'; Rivaldo  45+2'; Bebeto  50',0,Group Stage
scotland, Morocco,0.0,3.0,NO,Bassir,23,Away Win,1998-06-23,21:00:00,Stade Geoffroy-Guichard,Saint-Étienne,306000.0,Ali Bujsaim,United Arab Emirates,0,"Bassir  23', 85'; Hadda  46'",Group Stage
scotland, Morocco,0.0,3.0,NO,Hadda,46,Away Win,1998-06-23,21:00:00,Stade Geoffroy-Guichard,Saint-Étienne,306000.0,Ali Bujsaim,United Arab Emirates,0,"Bassir  23', 85'; Hadda  46'",Group Stage
brazil, Norway,1.0,2.0,NO,Bebeto,78,Away Win,1998-06-23,21:00:00,Stade Vélodrome,Marseille,550000.0,Esfandiar Baharmast,United States,Bebeto  78',T. A. Flo  83'; Rekdal  89' (pen.); pen.,Group Stage
brazil, Norway,1.0,2.0,NO,T. A. Flo,83,Away Win,1998-06-23,21:00:00,Stade Vélodrome,Marseille,550000.0,Esfandiar Baharmast,United States,Bebeto  78',T. A. Flo  83'; Rekdal  89' (pen.); pen.,Group Stage
brazil, Norway,1.0,2.0,NO,Rekdal,89,Away Win,1998-06-23,21:00:00,Stade Vélodrome,Marseille,550000.0,Esfandiar Baharmast,United States,Bebeto  78',T. A. Flo  83'; Rekdal  89' (pen.); pen.,Group Stage
italy, Chile,2.0,2.0,NO,Vieri,10,Draw,1998-06-11,17:30:00,Parc Lescure,Bordeaux,318000.0,Lucien Bouchardeau,Niger,Vieri  10'; R. Baggio  84' (pen.); pen.,"Salas  45+3', 50'",Group Stage
italy, Chile,2.0,2.0,NO,R. Baggio,84,Draw,1998-06-11,17:30:00,Parc Lescure,Bordeaux,318000.0,Lucien Bouchardeau,Niger,Vieri  10'; R. Baggio  84' (pen.); pen.,"Salas  45+3', 50'",Group Stage
italy, Chile,2.0,2.0,NO,Salas,45,Draw,1998-06-11,17:30:00,Parc Lescure,Bordeaux,318000.0,Lucien Bouchardeau,Niger,Vieri  10'; R. Baggio  84' (pen.); pen.,"Salas  45+3', 50'",Group Stage
cameroon, Austria,1.0,1.0,NO,Njanka,77,Draw,1998-06-11,21:00:00,Stade de Toulouse,Toulouse,335000.0,Epifanio González,Paraguay,Njanka  77',Polster  90+1',Group Stage
cameroon, Austria,1.0,1.0,NO,Polster,90,Draw,1998-06-11,21:00:00,Stade de Toulouse,Toulouse,335000.0,Epifanio González,Paraguay,Njanka  77',Polster  90+1',Group Stage
chile, Austria,1.0,1.0,NO,Salas,70,Draw,1998-06-17,17:30:00,Stade Geoffroy-Guichard,Saint-Étienne,306000.0,Gamal Al-Ghandour,Egypt,Salas  70',Vastić  90+2',Group Stage
chile, Austria,1.0,1.0,NO,Vastić,90,Draw,1998-06-17,17:30:00,Stade Geoffroy-Guichard,Saint-Étienne,306000.0,Gamal Al-Ghandour,Egypt,Salas  70',Vastić  90+2',Group Stage
italy, Cameroon,3.0,0.0,NO,Di Biagio,7,Home Win,1998-06-17,21:00:00,Stade de la Mosson,Montpellier,298000.0,Eddie Lennie,Australia,"Di Biagio  7'; Vieri  75', 89'",0,Group Stage
italy, Cameroon,3.0,0.0,NO,Vieri,75,Home Win,1998-06-17,21:00:00,Stade de la Mosson,Montpellier,298000.0,Eddie Lennie,Australia,"Di Biagio  7'; Vieri  75', 89'",0,Group Stage
italy, Austria,2.0,1.0,NO,Vieri,48,Home Win,1998-06-23,16:00:00,Stade de France,Saint-Denis,800000.0,Paul Durkin,England,Vieri  48'; R. Baggio  90',Herzog  90+2' (pen.); pen.,Group Stage
