Home_Team,Score,Away_Team,Penalties,First_Team_Goals,Second_Team_Goals,Date,Time,Stadium,City,Attendance,Referee,Referee_City,Player_Name,Goal_Time,Home_Score,Away_Score,Outcome
brazil,0–1, Argentina,NO,0,Caniggia  81',1990-06-24,17:00:00,Stadio Delle Alpi,Turin,613810.0,Joël Quiniou,France,Caniggia,81,0.0,1.0,Away Win
west germany,2–1, Netherlands,NO,Klinsmann  51'; Brehme  85',R. Koeman  89' (pen.); pen.,1990-06-24,21:00:00,San Siro,Milan,745590.0,Juan Carlos Loustau,Argentina,Klinsmann,51,2.0,1.0,Home Win
west germany,2–1, Netherlands,NO,Klinsmann  51'; Brehme  85',R. Koeman  89' (pen.); pen.,1990-06-24,21:00:00,San Siro,Milan,745590.0,Juan Carlos Loustau,Argentina,Brehme,85,2.0,1.0,Home Win
west germany,2–1, Netherlands,NO,Klinsmann  51'; Brehme  85',R. Koeman  89' (pen.); pen.,1990-06-24,21:00:00,San Siro,Milan,745590.0,Juan Carlos Loustau,Argentina,R. Koeman,89,2.0,1.0,Home Win
italy,2–0, Uruguay,NO,Schillaci  65'; Serena  83',0,1990-06-25,21:00:00,Stadio Olimpico,Rome,733030.0,George Courtney,England,Schillaci,65,2.0,0.0,Home Win
italy,2–0, Uruguay,NO,Schillaci  65'; Serena  83',0,1990-06-25,21:00:00,Stadio Olimpico,Rome,733030.0,George Courtney,England,Serena,83,2.0,0.0,Home Win
spain,1–2 (a.e.t.), Yugoslavia,NO,Salinas  84',"Stojković  78', 93'",1990-06-26,17:00:00,Stadio Marc'Antonio Bentegodi,Verona,355000.0,Aron Schmidhuber,West Germany,Salinas,84,1.0,2.0,Away Win
spain,1–2 (a.e.t.), Yugoslavia,NO,Salinas  84',"Stojković  78', 93'",1990-06-26,17:00:00,Stadio Marc'Antonio Bentegodi,Verona,355000.0,Aron Schmidhuber,West Germany,Stojković,78,1.0,2.0,Away Win
england,1–0 (a.e.t.), Belgium,NO,Platt  119',0,1990-06-26,21:00:00,Stadio Renato Dall'Ara,Bologna,345200.0,Peter Mikkelsen,Denmark,Platt,119,1.0,0.0,Home Win
republic of ireland,0–1, Italy,NO,0,Schillaci  38',1990-06-30,21:00:00,Stadio Olimpico,Rome,733030.0,Carlos Silva Valente,Portugal,Schillaci,38,0.0,1.0,Away Win
czechoslovakia,0–1, West Germany,NO,0,Matthäus  25' (pen.); pen.,1990-07-01,17:00:00,San Siro,Milan,733470.0,Helmut Kohl,Austria,Matthäus,25,0.0,1.0,Away Win
cameroon,2–3 (a.e.t.), England,NO,Kundé  61' (pen.); pen.  65'; Ekéké,"Platt  25'; Lineker  83' (pen.), 105' (pen.); pen. ; pen.",1990-07-01,21:00:00,Stadio San Paolo,Naples,552050.0,Edgardo Codesal,Mexico,Kundé,61,2.0,3.0,Away Win
cameroon,2–3 (a.e.t.), England,NO,Kundé  61' (pen.); pen.  65'; Ekéké,"Platt  25'; Lineker  83' (pen.), 105' (pen.); pen. ; pen.",1990-07-01,21:00:00,Stadio San Paolo,Naples,552050.0,Edgardo Codesal,Mexico,pen.,65,2.0,3.0,Away Win
cameroon,2–3 (a.e.t.), England,NO,Kundé  61' (pen.); pen.  65'; Ekéké,"Platt  25'; Lineker  83' (pen.), 105' (pen.); pen. ; pen.",1990-07-01,21:00:00,Stadio San Paolo,Naples,552050.0,Edgardo Codesal,Mexico,Platt,25,2.0,3.0,Away Win
cameroon,2–3 (a.e.t.), England,NO,Kundé  61' (pen.); pen.  65'; Ekéké,"Platt  25'; Lineker  83' (pen.), 105' (pen.); pen. ; pen.",1990-07-01,21:00:00,Stadio San Paolo,Naples,552050.0,Edgardo Codesal,Mexico,Lineker,83,2.0,3.0,Away Win
argentina,1–1 (a.e.t.), Italy,4–3,Caniggia  67',Schillaci  17',1990-07-03,20:00:00,Stadio San Paolo,Naples,599780.0,Michel Vautrot,France,Caniggia,67,1.0,1.0,Draw
argentina,1–1 (a.e.t.), Italy,4–3,Caniggia  67',Schillaci  17',1990-07-03,20:00:00,Stadio San Paolo,Naples,599780.0,Michel Vautrot,France,Schillaci,17,1.0,1.0,Draw
west germany,1–1 (a.e.t.), England,4–3,Brehme  60',Lineker  80',1990-07-04,20:00:00,Stadio delle Alpi,Turin,626280.0,José Roberto Wright,Brazil,Brehme,60,1.0,1.0,Draw
west germany,1–1 (a.e.t.), England,4–3,Brehme  60',Lineker  80',1990-07-04,20:00:00,Stadio delle Alpi,Turin,626280.0,José Roberto Wright,Brazil,Lineker,80,1.0,1.0,Draw
italy,2–1, England,NO,Baggio  71'; Schillaci  86' (pen.); pen.,Platt  81',1990-07-07,20:00:00,Stadio San Nicola,Bari,514260.0,Joël Quiniou,France,Baggio,71,2.0,1.0,Home Win
italy,2–1, England,NO,Baggio  71'; Schillaci  86' (pen.); pen.,Platt  81',1990-07-07,20:00:00,Stadio San Nicola,Bari,514260.0,Joël Quiniou,France,Schillaci,86,2.0,1.0,Home Win
italy,2–1, England,NO,Baggio  71'; Schillaci  86' (pen.); pen.,Platt  81',1990-07-07,20:00:00,Stadio San Nicola,Bari,514260.0,Joël Quiniou,France,Platt,81,2.0,1.0,Home Win
west germany,1–0, Argentina,NO,Brehme  85' (pen.); pen.,0,1990-07-08,20:00:00,Stadio Olimpico,Rome,736030.0,Edgardo Codesal,Mexico,Brehme,85,1.0,0.0,Home Win
united states,1–1,  Switzerland,NO,Wynalda  45',Bregy  39',1994-06-18,,Pontiac Silverdome,Pontiac,734250.0,Francisco Oscar Lamolina,Argentina,Wynalda,45,1.0,1.0,Draw
united states,1–1,  Switzerland,NO,Wynalda  45',Bregy  39',1994-06-18,,Pontiac Silverdome,Pontiac,734250.0,Francisco Oscar Lamolina,Argentina,Bregy,39,1.0,1.0,Draw
colombia,1–3, Romania,NO,Valencia  43',"Răducioiu  16', 89'; Hagi  34'",1994-06-18,,Rose Bowl,Pasadena,918560.0,Jamal Al Sharif,Syria,Valencia,43,1.0,3.0,Away Win
colombia,1–3, Romania,NO,Valencia  43',"Răducioiu  16', 89'; Hagi  34'",1994-06-18,,Rose Bowl,Pasadena,918560.0,Jamal Al Sharif,Syria,Răducioiu,16,1.0,3.0,Away Win
colombia,1–3, Romania,NO,Valencia  43',"Răducioiu  16', 89'; Hagi  34'",1994-06-18,,Rose Bowl,Pasadena,918560.0,Jamal Al Sharif,Syria,Hagi,34,1.0,3.0,Away Win
romania,1–4,  Switzerland,NO,Hagi  35',"Sutter  16'; Chapuisat  52'; Knup  65', 72'",1994-06-22,,Pontiac Silverdome,Pontiac,614280.0,Neji Jouini,Tunisia,Hagi,35,1.0,4.0,Away Win
romania,1–4,  Switzerland,NO,Hagi  35',"Sutter  16'; Chapuisat  52'; Knup  65', 72'",1994-06-22,,Pontiac Silverdome,Pontiac,614280.0,Neji Jouini,Tunisia,Sutter,16,1.0,4.0,Away Win
romania,1–4,  Switzerland,NO,Hagi  35',"Sutter  16'; Chapuisat  52'; Knup  65', 72'",1994-06-22,,Pontiac Silverdome,Pontiac,614280.0,Neji Jouini,Tunisia,Chapuisat,52,1.0,4.0,Away Win
